우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167083|대학로|Daehak-ro|0|163|0|3020012200104240009012023|||3020012200|궁동||온천2동|0|424|02|9||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301130|대학로137번길|Daehak-ro 137beon-gil|0|46|0|3020012200103970011011147|||3020012200|궁동||온천2동|0|397|01|11||
34136|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010004|한밭대로|Hanbat-daero|0|407|18|3020012200102220000010828|||3020012200|궁동||온천2동|0|222|05|0||
34136|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301443|한밭대로371번길|Hanbat-daero 371beon-gil|0|45|9|3020012200102290000010584|||3020012200|궁동||온천2동|0|229|01|0||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|63|0|3020012200104010005010618|||3020012200|궁동||온천2동|0|401|01|5||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301136|대학로163번길|Daehak-ro 163beon-gil|0|34|0|3020012200104060001010898|||3020012200|궁동||온천2동|0|406|01|1||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167023|문화원로|Munhwawon-ro|0|41|1|3020012200104620010012178|||3020012200|궁동||온천2동|0|462|03|10||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167023|문화원로|Munhwawon-ro|0|51|0|3020012200104710013012539|||3020012200|궁동||온천2동|0|471|03|13||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167023|문화원로|Munhwawon-ro|0|56|0|3020012200104680009012702|||3020012200|궁동||온천2동|0|468|03|9||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301061|궁동로14번길|Gungdong-ro 14beon-gil|0|3|0|3020012200104130012011386|||3020012200|궁동||온천2동|0|413|01|12||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301061|궁동로14번길|Gungdong-ro 14beon-gil|0|4|0|3020012200104140002011319|||3020012200|궁동||온천2동|0|414|01|2||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301061|궁동로14번길|Gungdong-ro 14beon-gil|0|13|0|3020012200104130008011383|||3020012200|궁동||온천2동|0|413|01|8||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|3|0|3020012200104260009011500|||3020012200|궁동||온천2동|0|426|01|9||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|18|0|3020012200104270018011718|||3020012200|궁동||온천2동|0|427|01|18||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|6|0|3020012200104270013010872|||3020012200|궁동||온천2동|0|427|01|13||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|29|0|3020012200104080007011565|||3020012200|궁동||온천2동|0|408|01|7||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|35|0|3020012200104080005011255|||3020012200|궁동||온천2동|0|408|01|5||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|26|0|3020012200104070010011651|||3020012200|궁동||온천2동|0|407|01|10||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|55|0|3020012200104010008010818|||3020012200|궁동||온천2동|0|401|01|8||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|2|0|3020012200104270011010765|||3020012200|궁동||온천2동|0|427|01|11||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|10|0|3020012200104270015011731|||3020012200|궁동||온천2동|0|427|01|15||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301135|대학로159번길|Daehak-ro 159beon-gil|0|15|0|3020012200104260004000001|||3020012200|궁동||온천2동|0|426|01|4||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301156|문화원로37번길|Munhwawon-ro 37beon-gil|0|24|15|3020012200104580008011406|||3020012200|궁동||온천2동|0|458|01|8||
34167|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167023|문화원로|Munhwawon-ro|0|54|0|3020012200104680010012682|||3020012200|궁동||온천2동|0|468|03|10||
